Date,ID,Category,Tweet,Retweets,Favorites,Mentions,Hashtags
5/10/2018 21:43,9.95E+17,Ham,Thanks for your understanding and the great support for # BitZhttps://twitter.com/BitZExchange/status/994800042186854401 …,0,2,,#
5/10/2018 21:43,9.95E+17,Ham,"【Attention】XRB wallet is in progress of being upgrading now thus both depositing and withdrawing have been suspended for the moment. Sorry for the inconvenience. As for when users can make transactions again, please pay attention to our follow-up announcement.",0,2,,
5/10/2018 20:21,9.95E+17,Ham,It is our honor https://twitter.com/bottos_ai/status/994770939454861313 …,0,5,,
5/10/2018 20:12,9.95E+17,Ham,【Attention!!】 TEAM deposit is to start about 48min later! Trading time less than 4h later! (3h48min) Are you ready https://twitter.com/BitZExchange/status/994774567011979265 …,1,4,,
5/10/2018 20:01,9.95E+17,Ham,"Dear traders, Bit-Z will launch TEAM on BTC Ð market. Deposit Start Time: 12:00, May 11, 2018 (UTC/GMT+08:00)，Trading Start Time: 15:00, May 11, 2018 (UTC/GMT+08:00) ，Hope you will enjoy it!pic.twitter.com/C6Akn2UZZ5",0,6,,
5/10/2018 19:45,9.95E+17,Ham,"Hi, please try this https://www.bit-z.pro/ or this https://www.bit-z.com/",0,0,,
5/10/2018 19:41,9.95E+17,Ham,Thanks for your support for Bit-Z,0,1,,
5/10/2018 19:39,9.95E+17,Ham,"Hi, this is PRA gift program on Bit-Z, click for more details https://support.bit-z.pro/hc/en-us/articles/360003917634-450-000-PRA-Airdrops …",0,0,,
5/10/2018 19:21,9.95E+17,Ham,"Yes, it is to be expected~~",0,2,,
5/10/2018 1:21,9.94E+17,Ham,New orders and all advertisements have been suspended at OTC market already. Sorry for the incovenience. A new OTC market coming soon! https://twitter.com/BitZExchange/status/994137410408660993 …,0,4,,
5/10/2018 0:45,9.94E+17,Ham,https://www.bit-z.pro/refer https://twitter.com/BitZExchange/status/994482976124583936 …,0,3,,
5/10/2018 0:43,9.94E+17,Ham,"Hey, have you invited your friends to # BitZ today? https://twitter.com/BitZExchange/status/991578680617926656 …",0,4,,#
5/10/2018 0:37,9.94E+17,Ham,"Hi, you can exchange VTC with DKKT on our platform. Click here~ https://www.bit-z.pro/exchange/vtc_dkkt … Thanks for your attention",0,0,,
5/10/2018 0:24,9.94E+17,Listing,NXCT exchanging on!! clcik here to start your transaction! https://www.bit-z.pro/exchange/nxct_eth … And click here to get the gifts! https://www.bit-z.pro/activity/act https://twitter.com/BitZExchange/status/994077972834476037 …,1,3,,
5/10/2018 0:17,9.94E+17,Ham,【Attention】WT vote for Launch has been already on !!! Click here to take a part! https://www.bit-z.pro/vote2/WT,0,4,,
5/9/2018 20:52,9.94E+17,Ham,# BitZhttps://twitter.com/BitZExchange/status/994424876000727041 …,1,5,,#
5/9/2018 20:52,9.94E+17,Ham,【Attention】 FCT deposit and withdraw can be operated on Bit-Z now! Click here to make your transaction https://www.bit-z.pro/user_balance,0,4,,
5/9/2018 20:03,9.94E+17,Ham,thx for your support for Bit-Z~https://twitter.com/mustakimalamAC/status/994272096548151296 …,1,6,,
