Date,ID,Category,Tweet,Retweets,Favorites,Mentions,Hashtags
5/10/2018 20:14,9.95E+17,Ham,"If you cannot log-in after registering, watch this video and try it again! Visit Bithumb Website PC : http://goo.gl/DvKbGR MOBILE : http://goo.gl/eUDWKu pic.twitter.com/SP5xJMyarF",2,15,,
5/10/2018 2:08,9.95E+17,Ham,You haven't got a SMS message for registration? Here's the guidelines for your reference! Visit Bithumb Website PC : http://goo.gl/DvKbGR MOBILE : http://goo.gl/eUDWKu pic.twitter.com/TmeQ8cvUvZ,7,39,,
5/9/2018 23:22,9.94E+17,Listing,You can trade Zilliqa(ZIL) and Ethos(ETHOS) on Bithumb and Bithumb PRO PC : https://goo.gl/xcSGxy MOBILE : https://goo.gl/ixaGFd pic.twitter.com/HUpUTorPzO,50,193,,
5/9/2018 21:41,9.94E+17,Ham,I'm afraid but we cannot view your status on this channel. Could you please send a message via facebook messenger or call us +82-1661-5551? Thanks for your understanding!,0,0,,
5/9/2018 20:29,9.94E+17,Ham,@ AllenTandiary @ Jack48181908 @ emilyn17 @ kanny06371137 @ Weez2000 @ davborja0918 @ J_FFree @ a7q9a6z6 @ JuanMikhaileus @ malu074 @ weepingguitars @ icovieworg @ coin_n_future @ Crypto345 → Thanks for your reply for us! We got your email and will noti,7,30,@ @ @ @ @ @ @ @ @ @ @ @ @ @,
5/9/2018 20:23,9.94E+17,Ham,We do not have an official telegram channel. Sorry for your inconvenience. Thanks.,0,0,,
5/9/2018 20:19,9.94E+17,Ham,"[NOTICE FOR THE REGISTRATION EVENT] We finished up for collecting delivery information from the winners as of 9th, May. We will notice again as soon as the delivery will start. ※ Winners who did not reply back to us will be excluded from the winning.",6,49,,
5/9/2018 19:24,9.94E+17,Listing,Zilliqa(ZIL) and Ethos(ETHOS) will be listed on Bithumb and Bithumb PRO. Visit Bithumb website and trade new cryptocurrencies! @ zilliqa @ Ethos_io PC : https://goo.gl/xcSGxy MOBILE :https://goo.gl/ixaGFd,99,268,@ @,
5/9/2018 6:22,9.94E+17,Ham,"Bithumb is expanding to Europe and looking for Head of Compliance and AML, Legal Counsel and Customer Service Manager to be based in London, apply here at hr@uk.bitcash.com",30,153,@uk,
5/9/2018 2:39,9.94E+17,Ham,Would you like to know how to register at Bithumb? Watch this video and be a member of Bithumb! :) Visit Bithumb Website PC : http://goo.gl/DvKbGR MOBILE : http://goo.gl/eUDWKu pic.twitter.com/6atj3OhffO,14,61,,
