Date,ID,Category,Tweet,Retweets,Favorites,Mentions,Hashtags
5/10/2018 10:01,9.95E+17,Listing,Quick update: The $ BLT market is open and trading will begin shortly on @ BittrexExchange. For more information about Bloom visit:https://bloom.co,60,191,@,
5/9/2018 21:01,9.94E+17,Ham,"At this time @ BittrexExchange is not supporting the Alaris (ALA) airdrop to eBoost (EBST). The $ ALA development team hasn't applied for listing, and it's too late for them to complete our token review process.https://support.bittrex.com/hc/en-us/articles/360003551351 …",89,241,@,
5/3/2018 11:17,9.92E+17,Ham,The issue is resolved and the ETH wallet is back online. Thank you for your patience!,59,191,,
5/3/2018 7:34,9.92E+17,Ham,The ETH wallet is temporarily offline. We're investigating an issue with delayed deposits for ETH and ETH tokens. Thanks for your patience as we work to address this issue.,128,353,,
4/30/2018 15:57,9.91E+17,Ham,We've seen a lot of Twitter users trying to impersonate @ BittrexExchange and/or attempting to scam you out of your digital assets. Read today's blog for some helpful tips on how to avoid scams.https://support.bittrex.com/hc/en-us/articles/360003181952 …,160,300,@,
4/27/2018 12:49,9.90E+17,Ham,"BittrexExchange is supporting the TRON $ TRX blockchain upgrade planned for June 21, 2018. It's important that all $ TRX token holders read our customer support document to learn more about this process, timing, and other important information.https:/",478,1121,@,
4/26/2018 14:20,9.90E+17,Ham,"MoneroV Update: We're not planning to support the MoneroV [XMV] non-native fork of Monero [XMR] planned for April 30, 2018. Their team recently contacted us, but they did not apply in time to complete our token review process before the fork date.https://support.bittrex.com/hc/en-us/articles/360001575651 …",149,319,,
4/26/2018 9:56,9.90E+17,Ham,We're investigating an issue that caused our website to go offline very briefly. The site is back online and the markets will be restored shortly. Thanks for your patience!,160,478,,
4/25/2018 16:18,9.89E+17,Ham,"Our customer support team resolves the majority of tickets within one hour. Want to learn more about how we're continuously improving our support capabilities, tools and procedures? Read today's blog post for more info.https://support.bittrex.com/hc/en-us/articles/360003059011 …",104,326,,
4/25/2018 12:14,9.89E+17,Ham,Regarding the batchOverflow bug in the news - we investigated & didn't find any ERC20 tokens listed on Bittrex that are vulnerable to it. Customers may continue their normal activities since ERC20 token trading isn't expected to be disrupted by this issue.https://support.bittrex.com/hc/en-us/articles/360003053291 …,259,595,,
4/24/2018 20:31,9.89E+17,Ham,"Today @ FDD's Center on Sanctions and Illicit Finance hosted a breakfast conversation on cryptocurrencies & sanctions in DC. John Roth, Chief Compliance & Ethics Officer at # Bittrex, participated in the discussion. Watch a replay of the event at: http://www.defenddemocracy.org/events/cryptocurrencies-and-sanctions/ … …pic.twitter.com/imYNSJRguT",100,254,@,#
4/23/2018 18:17,9.89E+17,Ham,"Good news, the BTC-BCC issue is resolved and the market is back online. If you placed any BTC-BCC orders in the last hour, they will need to be resubmitted. Thanks!",52,129,,
4/23/2018 18:05,9.89E+17,Ham,"We're investigating an issue with the BTC-BCC market and temporarily took it offline. Once restored, any orders placed during the last hour will need to be resubmitted. Thanks for your patience as we work to address this issue.",81,215,,
4/23/2018 13:58,9.89E+17,Listing,Quick update: The USDT-$SC and USDT-$TRX markets are open for trading on the @ BittrexExchange.,747,2124,@,
4/20/2018 7:11,9.87E+17,Ham,Want to learn more about why @ BittrexExchange removes certain coins or tokens? Check out our latest blog post at:https://support.bittrex.com/hc/en-us/articles/360002923272 …,142,339,@,
4/19/2018 13:29,9.87E+17,Ham,"Good news, the $ PRO deposit issue is resolved. Thanks for your patience!",41,105,,
4/19/2018 12:01,9.87E+17,Ham,We're investigating an issue with $ PRO deposits. Thank you for your patience as we work to address it.,57,180,,
4/19/2018 11:09,9.87E+17,Listing,Quick update: The $ PRO market is now open and trading will begin shortly on the @ BittrexExchange. For more information about Propy visit:https://www.propy.com/,134,369,@,
4/17/2018 7:05,9.86E+17,Ham,Want to trade on @ BittrexExchange? We've provided tips to help you get your ID verified quickly and start using our world-class trading platform ASAP. Majority of customers get verified in less than 15 min. Learn more at:https://support.bittrex.com/hc/en-us/articles/360002772392 …,130,416,@,
4/16/2018 18:21,9.86E+17,Ham,"Thanks for all your valuable feedback on our new website. We recently rolled out the first update with more updates to come. To see what we improved, go to: https://support.bittrex.com/hc/en-us/articles/360002768251 …",156,741,,
4/12/2018 11:44,9.85E+17,Ham,# Bittrex community: We DON'T offer coin promotions or giveaways on social media. Be careful and watch out for scammers trying to impersonate @ BittrexExchange,245,668,@,#
4/12/2018 10:01,9.84E+17,Ham,And…we're back! Bittrex reopened registrations for new users last night. Simply complete our registration and customer verification process to start trading http://www.Bittrex.com pic.twitter.com/DVtXG8vYUZ,933,2055,,
4/10/2018 15:53,9.84E+17,Ham,"Thank you for your patience as we work to reopen signups for new users. We're getting closer to a fix, and we'll resume new customer registrations as soon as possible.",110,458,,
4/10/2018 10:46,9.84E+17,Ham,"Sorry for the inconvenience. Due to an overwhelming response from new users, registration is temporarily paused. We're working to make the necessary tweaks and reopen signups again shortly.",534,1669,,
