Date,ID,Category,Tweet,Retweets,Favorites,Mentions,Hashtags
5/10/2018 5:37,9.95E+17,Ham,# Binance is Now Available in Dutch https://support.binance.com/hc/en-us/articles/360003564751 …pic.twitter.com/EhZAtYdhhh,357,1410,,#
5/8/2018 20:13,9.94E+17,Ham,"# Binance Will Support # Tron $ TRX MainNet Token Swap. When the swap occurs, we will handle all technical requirements involved for all users holding # TRX.pic.twitter.com/NyFsyGU33a",1364,3863,,# # #
5/8/2018 13:46,9.94E+17,Ham,"Bytecoin (BCN) Deposit Issue Due to Bytecoin (BCN) network issues, deposits and withdrawals are experiencing severe delays. The Bytecoin project team is working to resolve the issue. Please be cautious of high price volatility and trade with caution. https://support.binance.com/hc/en-us/articles/360003481632 …pic.twitter.com/dhbAfd8naA",216,573,,
5/8/2018 3:30,9.94E+17,Ham,Tell us your # Binance Story to win a Hoodie and some $ BNB # MyBinanceStorieshttps://medium.com/binanceexchange/binance-stories-competition-9b488269d107 …,278,865,,# #
5/7/2018 19:52,9.94E+17,Listing,Binance Lists Bytecoin (BCN) https://support.binance.com/hc/en-us/articles/360003461372 …pic.twitter.com/6lL9PPb4vK,788,1815,,
5/7/2018 2:58,9.93E+17,Ham,# Binance Flash Update!https://medium.com/binanceexchange/binance-flash-update-dac53636ee5d …,181,541,,#
5/7/2018 1:27,9.93E+17,Ham,"# Binance CEO @ cz_binance on ICOs. Not just good to have, but necessary.https://medium.com/binanceexchange/icos-not-just-good-to-have-but-necessary-543916b7e76 …",352,915,@,#
5/4/2018 1:13,9.92E+17,Listing,# Binance Adds XRP/USDT Trading Pair https://support.binance.com/hc/en-us/articles/360003376012# …pic.twitter.com/hEpsGWYoyf,1789,4575,,# #
5/3/2018 3:02,9.92E+17,Ham,# Binance Has Distributed April $ GAS ( $ NEO ) https://support.binance.com/hc/en-us/articles/360003316551 …pic.twitter.com/oVboM3NH2c,299,1139,,#
5/3/2018 1:25,9.92E+17,Ham,"# NANO Competition - 15,000 $ NANO To Giveaway https://support.binance.com/hc/en-us/articles/360003308572 …pic.twitter.com/3w22IGQm0R",501,1222,,#
