Date,ID,Filter,Tweet,Retweets,Favorites,Mentions,Hashtags
4/29/2018 14:56,9.91E+17,ham,"""With the abundance of cryptocurrencies on the market, few can boast as much upside potential as # Verge."" # XVG # VergeFam $ XVG https://blocklocale.com/verge-xvg-eyeing-new-opportunities-tokenpay-spotify-morefun-coinpayments/ …",136,214,,# # #
4/29/2018 10:18,9.91E+17,ham,"# BoA is going against the # fiduciary duties they OWE to shareholders. Being dependent on the semi-private # bank/company, # TheFederalReserve, mathematically guarantees they'll need more # bailouts down the line! # Crypto is inherently better, they SHOULD be # investing/mining! $ XVG pic.twitter.com/vQznzltcsX",2,4,,# # # # # # #
4/29/2018 10:55,9.91E+17,ham,"# dbix Fiat deposit any day now to buy your favorite crypto coins in richest place in the world. Also applying to Binance. Imo 10x soon, 100x long term. $ dbix $ dig $ eos $ btc $ bch $ btg $ waves $ steem $ xvg $ trx $ xem $ xlm $ doge $ neo $ ada $ brd $ eth $ ltc $ cmpco $ pot $ vrc $ rdd",7,28,,#
4/29/2018 13:25,9.91E+17,ham,# speedcash is the perfect # blockchain to build services and transfer # DigitalAssets https://www.scash.ml/ https://www.scash.ml/roadmap/ https://t.me/SpeedCashChat https://discord.gg/xTfeqNd $ scs $ strat $ btg $ synx $ swt $ ppc $ cvc $ qtum $ ardr $ nxt $ zcl $ xvg $ xrp $ fun $ dgb $ rdd $ vox $ vibpic.twitter.com/fSLh9vXNfW,3,8,,# # #
4/29/2018 15:56,9.91E+17,ham,# TRX $ TRX The market orders are driving tron.. Sellers are losing control.. big buyers are going to start coming in.. This could be exponential if the current trend continues # Buy $ buy # BTC # ETH # TRX # ENJ # STEEM # LTC # VEN # BNB $ OMG $ POWR $ VTC $ XEM $ LSK $ DGB $ DOGE $ XVG $ VEN $ ICX,1,8,,# # # # # # # # # #
4/29/2018 10:55,9.91E+17,ham,"# VergeFam # XVGFAM, please retweet and follow @ THRIVEmkt; it appears they may be interested in $ XVG # XVG @ vergecurrency :) If you aren't aware, @ THRIVEmkt is a hip, conscious, online retailer that is currently worth over $600 million. Let's show @ THRIVEmkt some # VergeLife love :)",2,2,@ @ @ @,# # # #
4/29/2018 11:46,9.91E+17,ham,# XVG $ xvg # vergecurrency OmiseGo will be integrated in Sonderplatform. More news to come.,1,1,,# #
4/29/2018 11:44,9.91E+17,ham,# XVG time to buy some more $ XVG # vergecurrencyhttps://twitter.com/cryptomanran/status/990419302753779714 …,5,12,,# #
4/29/2018 14:12,9.91E+17,ham,$ AMB is a project to keep your eye on. I have a feeling a big marketing push is coming # moon $ btc $ eth $ trx $ zcl $ xvg # cryptohttps://twitter.com/cryptoleee/status/990689286142951429 …,0,3,,# #
4/29/2018 11:39,9.91E+17,ham,$ btc $ xvg $ tpay This will be a force to be reckoned with in 2018. I'm filling my bags now https://twitter.com/tokenpay/status/990660493407748097 …,0,3,,
4/29/2018 13:29,9.91E+17,ham,$ hot @ holochain hype is too high to handle now Its hype just pumped another coin today hydro protocol having same short name $ hot # crypto # cryptocurrency # bitcoin # AION # ethereum # btc $ btc $ etc $ eth $ npxs $ wpr $ strat $ waves $ ae $ ont $ nebl $ xvg $ trx $ opcpic.twitter.com/smGOcdZFFi,0,3,@,# # # # # #
4/29/2018 14:33,9.91E+17,ham,$ NEO ready for the launch... $ BTC $ btcusd # bitcoin # coin # trading # btc # eth # ltc # trx $ btc $ eth $ ltc $ trx $ XVG $ XRP $ XRPUSD # TRON $ TRX/btc # TRX # altcoins # cryptocurrency # cointrading # cointradingpic.twitter.com/kasfapaO9E,1,4,,# # # # # # # # # # # # #
4/29/2018 16:05,9.91E+17,ham,$ TRX # TRX And so it begins... If the sellers can't stop this.. We are in for a new range.. # BTC # ETH # TRX # ENJ # STEEM # LTC # VEN # BNB $ OMG $ POWR $ VTC $ XEM $ LSK $ DGB $ DOGE $ XVG $ VEN $ ICX # binance # bitrex # cexio # cryptocurrency # buycrypto # invest # thefuture # blockchain # technology,0,5,,# # # # # # # # # # # # # # # # # #
4/29/2018 9:41,9.91E+17,ham,$ xvg - I can feel an new ath soon. Great partnership has been announced. Millions of new users to follow. Price will soon follow. $ XVG $ BTC $ ETH $ TRX # crypto # cryptocurrency # moon # profit # verge # cryptotrading # cryptonoob # trading # trader # noobtrader # profit # bullrun # FOMO # news,1,2,,# # # # # # # # # # # # # #
4/29/2018 16:01,9.91E+17,ham,$ xvg # xvg # vergecurrency # Verge Everybody head over here and let's show Spotify what # VergeFam can do! We are already leading in the ideas section! https://community.spotify.com/t5/Live-Ideas/All-Platforms-Partnership-Payments-with-Verge-XVG-Cryptocurrency/idi-p/4462772 …https://twitter.com/SpotifyCares/status/990488721584742400 …,42,87,,# # # #
4/29/2018 9:30,9.91E+17,ham,$ xvg = Negredo,0,5,,
4/29/2018 14:15,9.91E+17,ham,$ Xvg debit cards coming? $ tpay $ xvg https://twitter.com/tokenpay/status/989556227364605952 …,0,0,,
4/29/2018 10:04,9.91E+17,ham,"$ Xvg has opened the door for mainstream adoption, just a matter of time when every other industry starts adopting cryptos.",0,5,,
4/29/2018 11:56,9.91E+17,ham,$ XVG lol get rid of that shitcoin,0,2,,
4/29/2018 9:28,9.91E+17,ham,$ XVG maybe ready for another party,1,4,,
4/29/2018 16:06,9.91E+17,ham,$ xvg prediction for 2017 Dec. was 1 $? I dont say...anything wrong bro. I said if you see things are not working for it. plz review ........but dont take it on heart take other analysis positively and suggest :)... stay happy and dont mind,0,0,,
4/29/2018 16:00,9.91E+17,ham,$ XVG see crypto give result in qck time in Dec. 18 if hits 2100 thn what is the gain for those who bought 1400..in Dec 18 whn almost market every item might going 2 hit or already hit 5X-7X till Dec. 2018?if u feel its good Item.thn I doubt.althg I hodl it but dont suggest others,0,0,,
4/29/2018 13:17,9.91E+17,ham,$ XVG to # coinbase?,1,0,,#
4/29/2018 7:39,9.91E+17,ham,"$ XVG Upward price action confirmed when upper band breached, gorgeous green candle follows as base of symmetrical triangle. Hope to see further gains shortly. $ crypto $ btc $ eth $ ltc $ trxpic.twitter.com/1H15abP4TX",6,21,,
4/29/2018 15:54,9.91E+17,ham,@ CapitalTA # XVG $ XVG prediction for next couple days? got caught in dump of no return..,0,0,@,#
4/29/2018 8:35,9.91E+17,ham,@ geffrey55 your in @ supercell backyard. Take a day off and go visit them $ xvg for the win # hodlsquad activate,1,1,@ @,#
4/29/2018 7:36,9.91E+17,ham,"@ NewLeafCMarket, you are by far our favorite place to shop. It would be absolutely amazing if you started accepting payment in # cryptocurrency, especially $ XVG # XVG # Verge @ vergecurrency;this can be set up in about 15 minutes. If you did this, you'd",0,0,@ @,# # #
4/29/2018 15:51,9.91E+17,ham,@ skull322 Poseidon Quark - Bitcoin on steroids - https://posq.io/ $ POSQ $ XVG $ BTCpic.twitter.com/Kx7JIrOyAM,0,0,@,
4/29/2018 7:41,9.91E+17,ham,"@ THRIVEmkt, my wife and I are long-time supporters and customers. We would be ecstatic if you accepted # cryptocurrency as a payment option, specifically $ XVG # XVG # Verge @ vergecurrency, which is quickly becoming ""mainstream""; this can be set up in a",0,7,@ @ @,# # #
4/29/2018 15:39,9.91E+17,ham,@ ZebidataIndia $ ZCO and Andhra Pradesh Government is making it COMPULSORY for all hotels in the region to use ZEBI AI BLOCKCHAIN! https://medium.com/@BabuMunagala/zebi-launches-new-product-zebi-ai-chain-for-the-hospitality-industry-743f3849a274 … $ bt,1,0,@ @BabuMunagala,# # #
4/29/2018 16:03,9.91E+17,ham,"1) market cap for crypto will hit 1trillion this year. Any decent project will be in the green 2) $ xvg continues to seek partners including @ tokenpay and cc cards 3) $ xvg will hit $1.00 in 2018 If you don't like # xvg , go promote some other coin.",3,7,@,#
4/29/2018 16:37,9.91E+17,ham,A very nice snippet. Great job # vergecommunity $ xvg # verge https://www.instagram.com/p/BiKceO9gXih/?taken-by=crypto_vulgaris …,4,10,,# #
4/29/2018 12:36,9.91E+17,ham,Always Remember for Maximum Profit $ ADA $ WAVES $ BTS $ DGB $ TRX $ STEEM $ SC $ ZRX $ POT $ HSR $ EOS $ IOTA $ LTC $ GRS $ ETC $ ETH $ XRP $ ICX $ XLM $ NEO $ OCN $ XVG $ GVT $ BTC $ VEN $ FUN $ WABI $ ETN $ FLO $ FLDC $ XEM $ BCC $ BTG $ ZEN $ CRW $ BAY $ CANN $ RDD $ NCASHpic.twitter.com/MTN5ld3VDD,3,9,,
4/29/2018 10:30,9.91E+17,ham,"And...it appears that @ THRIVEmkt, a hip, cutting edge, conscious online retailer (worth over $600 million) may be interested in integrating $ XVG # XVG # Verge @ vergecurrency :) The future is here. # vergelifehttps://twitter.com/MarcsBlogg/status/990569408144736256 …",0,5,@ @,# # #
4/29/2018 13:24,9.91E+17,ham,"As @ binance partners with more and more countries, they are positioning cryptocurrencies to become a huge part of the world. They'll add USD-to-Crypto allowing everyone to purchase $ XVG and other cryptos easily! http://thebitplex.com/2018/03/23/binance-malta/ …",111,258,@,
4/29/2018 16:40,9.91E+17,ham,Awesome content just keeps coming from the $ xvg community.,3,8,,
4/29/2018 7:06,9.91E+17,ham,Because # VergeFam # hodlsquad showed up strong !!! $ xvg https://twitter.com/cryptomanran/status/990438197254483968 …,1,2,,# #
